ward,district,city
An Phú Tây,Bình Chánh,Hồ Chí Minh
Bình Chánh,Bình Chánh,Hồ Chí Minh
Bình Hưng,Bình Chánh,Hồ Chí Minh
Bình Lợi,Bình Chánh,Hồ Chí Minh
Đa Phước,Bình Chánh,Hồ Chí Minh
Hưng Long,Bình Chánh,Hồ Chí Minh
Lê Minh Xuân,Bình Chánh,Hồ Chí Minh
Phạm Văn Hai,Bình Chánh,Hồ Chí Minh
Phong Phú,Bình Chánh,Hồ Chí Minh
Quy Đức,Bình Chánh,Hồ Chí Minh
Tân Kiên,Bình Chánh,Hồ Chí Minh
Tân Nhựt,Bình Chánh,Hồ Chí Minh
Tân Quý Tây,Bình Chánh,Hồ Chí Minh
Tân Túc,Bình Chánh,Hồ Chí Minh
Vĩnh Lộc A,Bình Chánh,Hồ Chí Minh
Vĩnh Lộc B,Bình Chánh,Hồ Chí Minh
An Lạc,Bình Tân,Hồ Chí Minh
An Lạc A,Bình Tân,Hồ Chí Minh
Bình Hưng Hòa,Bình Tân,Hồ Chí Minh
Bình Hưng Hoà A,Bình Tân,Hồ Chí Minh
Bình Hưng Hoà B,Bình Tân,Hồ Chí Minh
Bình Trị Đông,Bình Tân,Hồ Chí Minh
Bình Trị Đông A,Bình Tân,Hồ Chí Minh
Bình Trị Đông B,Bình Tân,Hồ Chí Minh
Tân Tạo,Bình Tân,Hồ Chí Minh
Tân Tạo A,Bình Tân,Hồ Chí Minh
Phường 1,Bình Thạnh,Hồ Chí Minh
Phường 2,Bình Thạnh,Hồ Chí Minh
Phường 3,Bình Thạnh,Hồ Chí Minh
Phường 5,Bình Thạnh,Hồ Chí Minh
Phường 6,Bình Thạnh,Hồ Chí Minh
Phường 7,Bình Thạnh,Hồ Chí Minh
Phường 11,Bình Thạnh,Hồ Chí Minh
Phường 12,Bình Thạnh,Hồ Chí Minh
Phường 13,Bình Thạnh,Hồ Chí Minh
Phường 14,Bình Thạnh,Hồ Chí Minh
Phường 15,Bình Thạnh,Hồ Chí Minh
Phường 17,Bình Thạnh,Hồ Chí Minh
Phường 19,Bình Thạnh,Hồ Chí Minh
Phường 21,Bình Thạnh,Hồ Chí Minh
Phường 22,Bình Thạnh,Hồ Chí Minh
Phường 24,Bình Thạnh,Hồ Chí Minh
Phường 25,Bình Thạnh,Hồ Chí Minh
Phường 26,Bình Thạnh,Hồ Chí Minh
Phường 27,Bình Thạnh,Hồ Chí Minh
Phường 28,Bình Thạnh,Hồ Chí Minh
An Thới Đông,Cần Giờ,Hồ Chí Minh
Bình Khánh,Cần Giờ,Hồ Chí Minh
Cần Thạnh,Cần Giờ,Hồ Chí Minh
Long Hòa,Cần Giờ,Hồ Chí Minh
Lý Nhơn,Cần Giờ,Hồ Chí Minh
Tam Thôn Hiệp,Cần Giờ,Hồ Chí Minh
Thạnh An,Cần Giờ,Hồ Chí Minh
An Nhơn Tây,Củ Chi,Hồ Chí Minh
An Phú,Củ Chi,Hồ Chí Minh
Bình Mỹ,Củ Chi,Hồ Chí Minh
Củ Chi,Củ Chi,Hồ Chí Minh
Hòa Phú,Củ Chi,Hồ Chí Minh
Nhuận Đức,Củ Chi,Hồ Chí Minh
Phạm Văn Cội,Củ Chi,Hồ Chí Minh
Phú Hòa Đông,Củ Chi,Hồ Chí Minh
Phú Mỹ Hưng,Củ Chi,Hồ Chí Minh
Phước Hiệp,Củ Chi,Hồ Chí Minh
Phước Thạnh,Củ Chi,Hồ Chí Minh
Phước Vĩnh An,Củ Chi,Hồ Chí Minh
Tân An Hội,Củ Chi,Hồ Chí Minh
Tân Phú Trung,Củ Chi,Hồ Chí Minh
Tân Thạnh Đông,Củ Chi,Hồ Chí Minh
Tân Thạnh Tây,Củ Chi,Hồ Chí Minh
Tân Thông Hội,Củ Chi,Hồ Chí Minh
Thái Mỹ,Củ Chi,Hồ Chí Minh
Trung An,Củ Chi,Hồ Chí Minh
Trung Lập Hạ,Củ Chi,Hồ Chí Minh
Trung Lập Thượng,Củ Chi,Hồ Chí Minh
Phường 1,Gò Vấp,Hồ Chí Minh
Phường 3,Gò Vấp,Hồ Chí Minh
Phường 4,Gò Vấp,Hồ Chí Minh
Phường 5,Gò Vấp,Hồ Chí Minh
Phường 6,Gò Vấp,Hồ Chí Minh
Phường 7,Gò Vấp,Hồ Chí Minh
Phường 8,Gò Vấp,Hồ Chí Minh
Phường 9,Gò Vấp,Hồ Chí Minh
Phường 10,Gò Vấp,Hồ Chí Minh
Phường 11,Gò Vấp,Hồ Chí Minh
Phường 12,Gò Vấp,Hồ Chí Minh
Phường 13,Gò Vấp,Hồ Chí Minh
Phường 14,Gò Vấp,Hồ Chí Minh
Phường 15,Gò Vấp,Hồ Chí Minh
Phường 16,Gò Vấp,Hồ Chí Minh
Phường 17,Gò Vấp,Hồ Chí Minh
Bà Điểm,Hóc Môn,Hồ Chí Minh
Đông Thạnh,Hóc Môn,Hồ Chí Minh
Hóc Môn,Hóc Môn,Hồ Chí Minh
Nhị Bình,Hóc Môn,Hồ Chí Minh
Tân Hiệp,Hóc Môn,Hồ Chí Minh
Tân Thới Nhì,Hóc Môn,Hồ Chí Minh
Tân Xuân,Hóc Môn,Hồ Chí Minh
Thới Tam Thôn,Hóc Môn,Hồ Chí Minh
Trung Chánh,Hóc Môn,Hồ Chí Minh
Xuân Thới Đông,Hóc Môn,Hồ Chí Minh
Xuân Thới Sơn,Hóc Môn,Hồ Chí Minh
Xuân Thới Thượng,Hóc Môn,Hồ Chí Minh
Hiệp Phước,Nhà Bè,Hồ Chí Minh
Long Thới,Nhà Bè,Hồ Chí Minh
Nhà Bè,Nhà Bè,Hồ Chí Minh
Nhơn Đức,Nhà Bè,Hồ Chí Minh
Phước Kiển,Nhà Bè,Hồ Chí Minh
Phước Lộc,Nhà Bè,Hồ Chí Minh
Phú Xuân,Nhà Bè,Hồ Chí Minh
Phường 1,Phú Nhuận,Hồ Chí Minh
Phường 2,Phú Nhuận,Hồ Chí Minh
Phường 3,Phú Nhuận,Hồ Chí Minh
Phường 4,Phú Nhuận,Hồ Chí Minh
Phường 5,Phú Nhuận,Hồ Chí Minh
Phường 7,Phú Nhuận,Hồ Chí Minh
Phường 8,Phú Nhuận,Hồ Chí Minh
Phường 9,Phú Nhuận,Hồ Chí Minh
Phường 10,Phú Nhuận,Hồ Chí Minh
Phường 11,Phú Nhuận,Hồ Chí Minh
Phường 12,Phú Nhuận,Hồ Chí Minh
Phường 13,Phú Nhuận,Hồ Chí Minh
Phường 14,Phú Nhuận,Hồ Chí Minh
Phường 15,Phú Nhuận,Hồ Chí Minh
Phường 17,Phú Nhuận,Hồ Chí Minh
Bến Nghé,Quận 1,Hồ Chí Minh
Bến Thành,Quận 1,Hồ Chí Minh
Cầu Kho,Quận 1,Hồ Chí Minh
Cầu Ông Lãnh,Quận 1,Hồ Chí Minh
Cô Giang,Quận 1,Hồ Chí Minh
Đa Kao,Quận 1,Hồ Chí Minh
Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh
Nguyễn Thái Bình,Quận 1,Hồ Chí Minh
Phạm Ngũ Lão,Quận 1,Hồ Chí Minh
Tân Định,Quận 1,Hồ Chí Minh
An Khánh,Quận 2,Hồ Chí Minh
An Lợi Đông,Quận 2,Hồ Chí Minh
An Phú,Quận 2,Hồ Chí Minh
Bình An,Quận 2,Hồ Chí Minh
Bình Khánh,Quận 2,Hồ Chí Minh
Bình Trưng Đông,Quận 2,Hồ Chí Minh
Bình Trưng Tây,Quận 2,Hồ Chí Minh
Cát Lái,Quận 2,Hồ Chí Minh
Thạnh Mỹ Lợi,Quận 2,Hồ Chí Minh
Thảo Điền,Quận 2,Hồ Chí Minh
Thủ Thiêm,Quận 2,Hồ Chí Minh
Phường 1,Quận 3,Hồ Chí Minh
Phường 2,Quận 3,Hồ Chí Minh
Phường 3,Quận 3,Hồ Chí Minh
Phường 4,Quận 3,Hồ Chí Minh
Phường 5,Quận 3,Hồ Chí Minh
Phường 6,Quận 3,Hồ Chí Minh
Phường 7,Quận 3,Hồ Chí Minh
Phường 8,Quận 3,Hồ Chí Minh
Phường 9,Quận 3,Hồ Chí Minh
Phường 10,Quận 3,Hồ Chí Minh
Phường 11,Quận 3,Hồ Chí Minh
Phường 12,Quận 3,Hồ Chí Minh
Phường 13,Quận 3,Hồ Chí Minh
Phường 14,Quận 3,Hồ Chí Minh
Phường 1,Quận 4,Hồ Chí Minh
Phường 2,Quận 4,Hồ Chí Minh
Phường 3,Quận 4,Hồ Chí Minh
Phường 4,Quận 4,Hồ Chí Minh
Phường 5,Quận 4,Hồ Chí Minh
Phường 6,Quận 4,Hồ Chí Minh
Phường 8,Quận 4,Hồ Chí Minh
Phường 9,Quận 4,Hồ Chí Minh
Phường 10,Quận 4,Hồ Chí Minh
Phường 12,Quận 4,Hồ Chí Minh
Phường 13,Quận 4,Hồ Chí Minh
Phường 14,Quận 4,Hồ Chí Minh
Phường 15,Quận 4,Hồ Chí Minh
Phường 16,Quận 4,Hồ Chí Minh
Phường 18,Quận 4,Hồ Chí Minh
Phường 1,Quận 5,Hồ Chí Minh
Phường 2,Quận 5,Hồ Chí Minh
Phường 3,Quận 5,Hồ Chí Minh
Phường 4,Quận 5,Hồ Chí Minh
Phường 5,Quận 5,Hồ Chí Minh
Phường 6,Quận 5,Hồ Chí Minh
Phường 7,Quận 5,Hồ Chí Minh
Phường 8,Quận 5,Hồ Chí Minh
Phường 9,Quận 5,Hồ Chí Minh
Phường 10,Quận 5,Hồ Chí Minh
Phường 11,Quận 5,Hồ Chí Minh
Phường 12,Quận 5,Hồ Chí Minh
Phường 13,Quận 5,Hồ Chí Minh
Phường 14,Quận 5,Hồ Chí Minh
Phường 15,Quận 5,Hồ Chí Minh
Phường 1,Quận 6,Hồ Chí Minh
Phường 2,Quận 6,Hồ Chí Minh
Phường 3,Quận 6,Hồ Chí Minh
Phường 4,Quận 6,Hồ Chí Minh
Phường 5,Quận 6,Hồ Chí Minh
Phường 6,Quận 6,Hồ Chí Minh
Phường 7,Quận 6,Hồ Chí Minh
Phường 8,Quận 6,Hồ Chí Minh
Phường 9,Quận 6,Hồ Chí Minh
Phường 10,Quận 6,Hồ Chí Minh
Phường 11,Quận 6,Hồ Chí Minh
Phường 12,Quận 6,Hồ Chí Minh
Phường 13,Quận 6,Hồ Chí Minh
Phường 14,Quận 6,Hồ Chí Minh
Bình Thuận,Quận 7,Hồ Chí Minh
Phú Mỹ,Quận 7,Hồ Chí Minh
Phú Thuận,Quận 7,Hồ Chí Minh
Tân Hưng,Quận 7,Hồ Chí Minh
Tân Kiểng,Quận 7,Hồ Chí Minh
Tân Phong,Quận 7,Hồ Chí Minh
Tân Phú,Quận 7,Hồ Chí Minh
Tân Quy,Quận 7,Hồ Chí Minh
Tân Thuận Đông,Quận 7,Hồ Chí Minh
Tân Thuận Tây,Quận 7,Hồ Chí Minh
Phường 1,Quận 8,Hồ Chí Minh
Phường 2,Quận 8,Hồ Chí Minh
Phường 3,Quận 8,Hồ Chí Minh
Phường 4,Quận 8,Hồ Chí Minh
Phường 5,Quận 8,Hồ Chí Minh
Phường 6,Quận 8,Hồ Chí Minh
Phường 7,Quận 8,Hồ Chí Minh
Phường 8,Quận 8,Hồ Chí Minh
Phường 9,Quận 8,Hồ Chí Minh
Phường 10,Quận 8,Hồ Chí Minh
Phường 11,Quận 8,Hồ Chí Minh
Phường 12,Quận 8,Hồ Chí Minh
Phường 13,Quận 8,Hồ Chí Minh
Phường 14,Quận 8,Hồ Chí Minh
Phường 15,Quận 8,Hồ Chí Minh
Phường 16,Quận 8,Hồ Chí Minh
Hiệp Phú,Quận 9,Hồ Chí Minh
Long Bình,Quận 9,Hồ Chí Minh
Long Phước,Quận 9,Hồ Chí Minh
Long Thạnh Mỹ,Quận 9,Hồ Chí Minh
Long Trường,Quận 9,Hồ Chí Minh
Phú Hữu,Quận 9,Hồ Chí Minh
Phước Bình,Quận 9,Hồ Chí Minh
Phước Long A,Quận 9,Hồ Chí Minh
Phước Long B,Quận 9,Hồ Chí Minh
Tăng Nhơn Phú A,Quận 9,Hồ Chí Minh
Tăng Nhơn Phú B,Quận 9,Hồ Chí Minh
Tân Phú,Quận 9,Hồ Chí Minh
Trường Thạnh,Quận 9,Hồ Chí Minh
Phường 1,Quận 10,Hồ Chí Minh
Phường 2,Quận 10,Hồ Chí Minh
Phường 3,Quận 10,Hồ Chí Minh
Phường 4,Quận 10,Hồ Chí Minh
Phường 5,Quận 10,Hồ Chí Minh
Phường 6,Quận 10,Hồ Chí Minh
Phường 7,Quận 10,Hồ Chí Minh
Phường 8,Quận 10,Hồ Chí Minh
Phường 9,Quận 10,Hồ Chí Minh
Phường 10,Quận 10,Hồ Chí Minh
Phường 11,Quận 10,Hồ Chí Minh
Phường 12,Quận 10,Hồ Chí Minh
Phường 13,Quận 10,Hồ Chí Minh
Phường 14,Quận 10,Hồ Chí Minh
Phường 15,Quận 10,Hồ Chí Minh
Phường 1,Quận 11,Hồ Chí Minh
Phường 2,Quận 11,Hồ Chí Minh
Phường 3,Quận 11,Hồ Chí Minh
Phường 4,Quận 11,Hồ Chí Minh
Phường 5,Quận 11,Hồ Chí Minh
Phường 6,Quận 11,Hồ Chí Minh
Phường 7,Quận 11,Hồ Chí Minh
Phường 8,Quận 11,Hồ Chí Minh
Phường 9,Quận 11,Hồ Chí Minh
Phường 10,Quận 11,Hồ Chí Minh
Phường 11,Quận 11,Hồ Chí Minh
Phường 12,Quận 11,Hồ Chí Minh
Phường 13,Quận 11,Hồ Chí Minh
Phường 14,Quận 11,Hồ Chí Minh
Phường 15,Quận 11,Hồ Chí Minh
Phường 16,Quận 11,Hồ Chí Minh
An Phú Đông,Quận 12,Hồ Chí Minh
Đông Hưng Thuận,Quận 12,Hồ Chí Minh
Hiệp Thành,Quận 12,Hồ Chí Minh
Tân Chánh Hiệp,Quận 12,Hồ Chí Minh
Tân Hưng Thuận,Quận 12,Hồ Chí Minh
Tân Thới Hiệp,Quận 12,Hồ Chí Minh
Tân Thới Nhất,Quận 12,Hồ Chí Minh
Thạnh Lộc,Quận 12,Hồ Chí Minh
Thạnh Xuân,Quận 12,Hồ Chí Minh
Thới An,Quận 12,Hồ Chí Minh
Trung Mỹ Tây,Quận 12,Hồ Chí Minh
Phường 1,Tân Bình,Hồ Chí Minh
Phường 2,Tân Bình,Hồ Chí Minh
Phường 3,Tân Bình,Hồ Chí Minh
Phường 4,Tân Bình,Hồ Chí Minh
Phường 5,Tân Bình,Hồ Chí Minh
Phường 6,Tân Bình,Hồ Chí Minh
Phường 7,Tân Bình,Hồ Chí Minh
Phường 8,Tân Bình,Hồ Chí Minh
Phường 9,Tân Bình,Hồ Chí Minh
Phường 10,Tân Bình,Hồ Chí Minh
Phường 11,Tân Bình,Hồ Chí Minh
Phường 12,Tân Bình,Hồ Chí Minh
Phường 13,Tân Bình,Hồ Chí Minh
Phường 14,Tân Bình,Hồ Chí Minh
Phường 15,Tân Bình,Hồ Chí Minh
Hiệp Tân,Tân Phú,Hồ Chí Minh
Hòa Thạnh,Tân Phú,Hồ Chí Minh
Phú Thạnh,Tân Phú,Hồ Chí Minh
Phú Thọ Hòa,Tân Phú,Hồ Chí Minh
Phú Trung,Tân Phú,Hồ Chí Minh
Sơn Kỳ,Tân Phú,Hồ Chí Minh
Tân Quý,Tân Phú,Hồ Chí Minh
Tân Sơn Nhì,Tân Phú,Hồ Chí Minh
Tân Thành,Tân Phú,Hồ Chí Minh
Tân Thới Hòa,Tân Phú,Hồ Chí Minh
Tây Thạnh,Tân Phú,Hồ Chí Minh
Bình Chiểu,Thủ Đức,Hồ Chí Minh
Bình Thọ,Thủ Đức,Hồ Chí Minh
Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh
Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh
Linh Chiểu,Thủ Đức,Hồ Chí Minh
Linh Đông,Thủ Đức,Hồ Chí Minh
Linh Tây,Thủ Đức,Hồ Chí Minh
Linh Trung,Thủ Đức,Hồ Chí Minh
Linh Xuân,Thủ Đức,Hồ Chí Minh
Tam Bình,Thủ Đức,Hồ Chí Minh
Tam Phú,Thủ Đức,Hồ Chí Minh
Trường Thọ,Thủ Đức,Hồ Chí Minh
